time,ax,ay,az,gx,gy,gz
14819,0.0069,0.0087,-0.9889,-0.8239,-0.2899,0.0381
15828,-0.0174,-0.0147,-1.0004,1.0299,-0.3128,-0.0076
16837,-0.0042,0.0092,-1.0140,-1.0757,0.2212,0.0000
17846,-0.0062,0.0021,-1.0053,-0.6484,-1.1138,1.4114
18856,-0.0172,0.0084,-0.9948,-0.3433,0.4501,-0.3051
19865,0.0003,-0.0115,-0.9808,-0.0381,0.3280,1.0910
20874,-0.0040,0.0177,-0.9865,0.0000,-0.6179,0.2746
21883,-0.0106,0.0197,-0.9970,-0.3204,1.3656,-0.5111
22893,-0.0030,0.0099,-1.0053,-1.1062,-0.5035,-0.5874
23902,-0.0003,-0.0081,-0.9918,0.2822,0.2136,-0.1525
24911,-0.0023,0.0043,-0.9974,-1.0147,-0.9918,0.2441
25920,0.0045,0.0075,-0.9918,0.5874,-0.2899,-0.1373
26929,-0.0059,0.0275,-0.9906,1.1215,-0.5569,-0.2822
27938,-0.0167,-0.0007,-1.0067,-0.8850,-0.3738,0.6942
28947,0.0028,0.0070,-0.9979,-0.8850,0.4501,-0.4806
29957,0.0001,0.0099,-0.9801,-1.1825,1.1215,-0.8087
30966,0.0484,-0.0505,-0.9796,-0.0228,-0.1449,6.3705
31975,-0.0355,0.0228,-1.0114,0.3433,2.8228,-6.4697
32984,-0.0489,-0.0242,-0.9935,2.1438,3.4027,-14.2669
33994,-0.0374,0.0451,-1.0150,-5.2642,1.9760,0.5111
35003,-0.0604,-0.0347,-1.0780,-5.3100,20.9121,5.8212
36012,-0.0130,-0.0217,-1.0243,11.3296,3.4713,5.1345
37021,0.0028,-0.0733,-0.8944,-4.8522,1.8234,2.6855
38030,-0.0050,0.0004,-0.9655,-6.0043,9.1171,5.2185
39040,0.0103,-0.0149,-0.8703,-3.7002,18.5394,9.2773
40049,0.0521,0.0119,-0.9855,7.0343,5.5923,0.6103
41058,0.1280,-0.0850,-0.9813,8.1100,25.5508,1.7852
42067,-0.0274,0.0643,-1.0350,-9.1781,-27.3513,12.0620
43077,0.1170,-0.0208,-1.0031,-2.2277,-7.9574,8.7280
44086,0.0006,-0.0017,-0.9779,-0.6256,-4.1732,0.8316
45095,-0.0015,-0.0025,-0.9818,-0.1983,0.3738,-0.6103
46104,-0.0028,-0.0088,-0.9992,-0.3128,-0.0991,0.9841
47113,0.2110,0.0595,-0.7951,-3.2272,-0.7247,20.2865
48122,-0.0023,-0.0178,-0.9962,0.3662,-1.7547,4.4784
49131,0.0140,0.0067,-1.0062,-1.2054,-0.3051,0.4043
50141,0.0006,-0.0347,-0.9867,0.5645,-0.8544,-0.4730
51150,-0.0211,0.0033,-1.0104,-0.6256,0.3814,-0.8316
52159,-0.0125,-0.0027,-0.9711,1.0833,-1.0604,2.1286
53168,0.0057,-0.0203,-1.0021,-1.7623,-1.6021,-0.3204
54177,-0.0015,0.0094,-0.9799,0.3662,0.1983,-0.2670
55187,-0.0015,-0.0042,-0.9784,-0.9155,-1.0452,-0.1220
56196,0.0076,-0.0027,-0.9750,0.3509,0.5416,-1.8463
57205,0.0177,-0.0195,-0.9813,4.1122,3.5552,-2.9067
58215,0.0469,0.0238,-0.9848,0.1449,4.1885,-12.1002
59224,0.0609,0.0172,-1.0099,1.6326,0.7858,1.9760
60233,0.0535,-0.0259,-1.0267,9.1171,3.5018,1.2817
61242,0.0853,-0.0718,-0.9826,-5.1956,-11.7034,-6.6452
62251,0.0286,-0.0305,-0.9569,3.7841,-7.4844,-7.6751
63261,-0.0140,0.0455,-1.0399,6.8817,-13.2522,-17.0135
64270,-0.0435,-0.0266,-0.9508,-4.2190,-6.7901,-18.8751
65279,-0.0875,-0.0154,-0.9310,15.3427,-4.9514,-18.1732
66288,-0.1434,0.0541,-0.9186,-3.3569,1.9912,-4.9057
67297,-0.0858,-0.1199,-0.9625,-0.3051,1.2664,-4.5852
68307,-0.0936,-0.0337,-0.9909,9.5748,40.4891,8.9950
69316,0.0172,0.0155,-0.9926,-6.3247,-0.3738,0.9078
70325,0.0169,0.0070,-1.0045,0.2670,0.3509,-0.7553
71334,-0.0084,0.0167,-0.9755,-3.5324,-1.1444,-0.8697
72343,-0.0118,0.0014,-0.9850,-0.5340,0.2670,0.6484
73352,-0.0093,0.0106,-1.0165,-1.8539,-0.7476,-0.1678
74362,-0.0032,0.0187,-0.9999,0.3814,-0.1754,-1.8615
75371,0.0040,-0.0132,-0.9948,-1.4266,0.4882,-0.5950
76380,-0.0089,0.0028,-0.9757,0.1449,-0.4730,-4.2114
77389,-0.0081,-0.0027,-0.9869,0.0076,0.0534,-0.2059
78399,-0.0076,0.0304,-0.9791,0.5722,0.1525,0.8544
79408,-0.0098,0.0272,-1.0119,-0.4425,1.0452,0.5416
80417,0.0018,-0.0000,-0.9857,0.1754,-0.0076,0.3814
81426,-0.0106,-0.0144,-0.9826,0.2288,0.5950,-0.5874
82435,0.0120,-0.0056,-0.9855,-1.2130,-0.3433,0.3433
83444,0.0177,-0.0132,-0.9686,-0.3509,0.9307,0.8926
84454,-0.0123,-0.0220,-1.0236,-1.0223,-0.6713,0.5950
85463,0.0010,-0.0142,-0.9891,0.4196,0.2212,-0.2517
86472,0.0018,-0.0166,-0.9996,-0.3585,-0.5874,-0.5111
87481,-0.0181,0.0187,-0.9894,0.2517,-0.5187,-0.0152
88491,-0.0035,-0.0025,-0.9894,0.6637,-0.3967,-0.2975
89499,-0.0169,-0.0154,-0.9652,0.9841,0.3890,-0.7858
90509,0.0035,0.0043,-0.9982,-0.6408,0.0534,-0.6103
91518,-0.0118,0.0114,-0.9960,-0.9613,-0.2899,0.2593
92527,-0.0013,0.0057,-0.9821,-1.3275,0.4653,1.1062
93536,-0.0184,-0.0166,-1.0048,-0.4425,-0.0839,-0.1449
94546,-0.0069,-0.0088,-0.9906,-0.4119,-0.8468,-0.4119
95555,-0.0003,0.0126,-1.0038,-1.2054,-0.5340,0.0915
96564,0.0072,0.0104,-0.9994,-0.9078,-1.1978,0.0076
97574,0.0028,0.0048,-0.9938,-0.3967,-0.8087,0.5722
98583,0.0101,0.0001,-0.9728,-0.2975,0.2593,0.6561
